Is Block Set?,creativeTab,New Block?,Update,Status,Label,Block Name,Source,Author,Block Type,Block Set Name,Notes,,
FALSE,westeros_logs_tab,FALSE,Wood Update,Complete,6-Sided Birch,6sided_birch,Unsure,,solid,,,,old contributors reference
FALSE,westeros_logs_tab,FALSE,Wood Update,Complete,6-Sided Jungle,6sided_jungle,Doku,,solid,,,,# Preamble
FALSE,westeros_logs_tab,FALSE,Wood Update,Complete,6-Sided Oak,6sided_oak,Doku,,solid,,,,
FALSE,westeros_logs_tab,FALSE,Wood Update,Complete,6-Sided Spruce,6sided_spruce,Doku,,solid,,,,"The WesterosBlocks texture pack originated from [Dokucraft](https://dokucraft.co.uk/), but contains elements from other resource packs including [John Smith](https://www.johnsmithlegacy.co.uk/) and [Conquest](https://conquestreforged.com/) (and overlays by [Ardacraft](https://ardacraft.me/)). We have made many alterations and additions to the pack over the years, so most of the textures are originals only to be found in this pack. Ultimately, we aim for the WesterosBlocks textures to be made up exclusively from original textures created by artists within the community."
FALSE,westeros_half_ashlar_tab,FALSE,,Not Started,6-Sided Stone Slab,6sided_stone_slab,Doku,,solid,,,,
FALSE,westeros_banners_tab,FALSE,Fabric Update,,Allyrion Banner,allyrion_banner,WesterosBlocks,,cuboid-nsew-stack,,,,The sound components were created and/or arranged by Hal9007. The sound effects used in this resource pack are based off of edited loops and sound samples from [SoundJay.com](https://www.soundjay.com/) or [Pond5.com](https://www.pond5.com/). Third-party samples are either public domain or paid for under an Attribution 3.0 licesnse.
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Ashlar Furnace Arbor,always_active_arbor_brick_furnace,Doku,,furnace,,,,
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Orange Brick Furnace,always_active_brick_furnace,Doku,,furnace,,,,"If you want to use any of these originals feel free to do so, but it would be cool of you to credit all the contributors. If you want to use any of the textures by the below mentioned artists, please consult the individual homepages and seek their permission."
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Ashlar Furnace Dark Grey,always_active_dark_grey_brick_furnace,Doku,,furnace,,,,
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Dornish Mud Furnace,always_active_dornish_mud_furnace,WesterosBlocks,,furnace,,,,**Do not sell this resource pack! Ever.**
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Ashlar Furnace Dun,always_active_dun_brick_furnace,Doku,,furnace,,,,
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Ashlar Furnace Light Grey,always_active_light_grey_brick_furnace,Doku,,furnace,,,,"Cheers,"
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Ashlar Furnace Oldtown,always_active_oldtown_brick_furnace,Doku,,furnace,,,,"geeberry, Thamus_Knoward, Emoticone11, CashBanks, Moozipan, Marken4, Hal9007"
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Ashlar Furnace Reach,always_active_reach_brick_furnace,Doku,,furnace,,,,
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Ashlar Furnace Light Brown,always_active_sandstone_furnace,Doku,,furnace,,,,
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Southern Brick Furnace,always_active_southern_brick_furnace,Doku,,furnace,,,,# Credits
FALSE,westeros_furniture_tab,FALSE,,Not Started,Always Active Ashlar Furnace Green Grey,always_active_stone_furnace,Doku,,furnace,,,,
